AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob
179,Shyampur,Haora,GEN,All India Trinamool Congress,0.98781395
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.9993605
181,Amta,Haora,GEN,All India Trinamool Congress,0.98946
182,Udaynarayanpur,Haora,GEN,All India Trinamool Congress,0.99927944
183,Jagatballavpur,Haora,GEN,All India Trinamool Congress,0.99673367
184,Domjur,Haora,GEN,All India Trinamool Congress,0.9917173
185,Uttarpara,Hugli,GEN,All India Trinamool Congress,0.9977781
186,Sreerampur,Hugli,GEN,All India Trinamool Congress,0.98340005
187,Champdani,Hugli,GEN,All India Trinamool Congress,0.993526
188,Singur,Hugli,GEN,All India Trinamool Congress,0.9991301
189,Chandannagar,Hugli,GEN,All India Trinamool Congress,0.9983719
190,Chunchura,Hugli,GEN,All India Trinamool Congress,0.87149054
191,Balagarh,Hugli,SC,All India Trinamool Congress,0.9180087
192,Pandua,Hugli,GEN,All India Trinamool Congress,0.99715245
193,Saptagram,Hugli,GEN,All India Trinamool Congress,0.9841039
194,Chanditala,Hugli,GEN,All India Trinamool Congress,0.9989417
195,Jangipara,Hugli,GEN,All India Trinamool Congress,0.9969907
196,Haripal,Hugli,GEN,All India Trinamool Congress,0.98785305
197,Dhanekhali,Hugli,SC,All India Trinamool Congress,0.971618
198,Tarakeswar,Hugli,GEN,All India Trinamool Congress,0.9953779
199,Pursurah,Hugli,GEN,Bharatiya Janta Party,0.89466697
200,Arambag,Hugli,SC,Bharatiya Janta Party,0.94009584
201,Goghat,Hugli,SC,Bharatiya Janta Party,0.9723307
202,Khanakul,Hugli,GEN,Bharatiya Janta Party,0.95653147
203,Tamluk,Purba Medinipur,GEN,All India Trinamool Congress,0.97323316
204,Panskura Purba,Purba Medinipur,GEN,All India Trinamool Congress,0.97786593
205,Panskura Paschim,Purba Medinipur,GEN,All India Trinamool Congress,0.9327776
206,Moyna,Purba Medinipur,GEN,Bharatiya Janta Party,0.91761994
207,Nandakumar,Purba Medinipur,GEN,All India Trinamool Congress,0.9361352
208,Mahishadal,Purba Medinipur,GEN,All India Trinamool Congress,0.9667165
209,Haldia,Purba Medinipur,SC,All India Trinamool Congress,0.6240982
210,Nandigram,Purba Medinipur,GEN,All India Trinamool Congress,0.7734777
211,Chandipur,Purba Medinipur,GEN,All India Trinamool Congress,0.96803033
212,Patashpur,Purba Medinipur,GEN,All India Trinamool Congress,0.9544267
213,Kanthi Uttar,Purba Medinipur,GEN,Bharatiya Janta Party,0.89621305
214,Bhagabanpur,Purba Medinipur,GEN,All India Trinamool Congress,0.7967374
215,Khejuri,Purba Medinipur,SC,Bharatiya Janta Party,0.92368317
216,Kanthi Dakshin,Purba Medinipur,GEN,Bharatiya Janta Party,0.90297335
217,Ramnagar,Purba Medinipur,GEN,All India Trinamool Congress,0.9762083
218,Egra,Purba Medinipur,GEN,All India Trinamool Congress,0.9834796
219,Dantan,Paschim Medinipur,GEN,All India Trinamool Congress,0.9212969
220,Nayagram,Paschim Medinipur,ST,All India Trinamool Congress,0.99528104
221,Gopiballavpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9874407
222,Jhargram,Paschim Medinipur,GEN,All India Trinamool Congress,0.9985207
223,Keshiary,Paschim Medinipur,ST,All India Trinamool Congress,0.98848456
224,Kharagpur Sadar,Paschim Medinipur,GEN,Bharatiya Janta Party,0.9376277
225,Narayangarh,Paschim Medinipur,GEN,All India Trinamool Congress,0.9801517
226,Sabang,Paschim Medinipur,GEN,All India Trinamool Congress,0.9825036
227,Pingla,Paschim Medinipur,GEN,All India Trinamool Congress,0.96106213
228,Kharagpur,Paschim Medinipur,GEN,All India Trinamool Congress,0.9984633
229,Debra,Paschim Medinipur,GEN,All India Trinamool Congress,0.9622678
230,Daspur,Paschim Medinipur,GEN,All India Trinamool Congress,0.8121165
231,Ghatal,Paschim Medinipur,SC,Bharatiya Janta Party,0.9691664
232,Chandrakona,Paschim Medinipur,SC,All India Trinamool Congress,0.6606054
233,Garbeta,Paschim Medinipur,GEN,All India Trinamool Congress,0.9872143
234,Salboni,Paschim Medinipur,GEN,All India Trinamool Congress,0.66741294
235,Keshpur,Paschim Medinipur,SC,All India Trinamool Congress,0.9549859
236,Medinipur,Paschim Medinipur,GEN,All India Trinamool Congress,0.99688786
237,Binpur,Paschim Medinipur,ST,All India Trinamool Congress,0.9987343
238,Bandwan,Puruliya,ST,All India Trinamool Congress,0.98161775
