AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
287,Nanoor,Birbhum,2.9,0.05,0.02,0.02,0.01,0.1
210,Nandigram,Purba Medinipur,0.9,0.05,0.02,0.02,0.01,0.1
207,Nandakumar,Purba Medinipur,2.4,0.05,0.02,0.02,0.01,0.1
1,Mekliganj,Koch Bihar,7.5,0.05,0.02,0.02,0.01,0.1
236,Medinipur,Paschim Medinipur,10.4,0.05,0.02,0.02,0.01,0.1
290,Mayureswar,Birbhum,6.1,0.05,0.02,0.02,0.01,0.1
2,Mathabhanga,Koch Bihar,12.3,0.05,0.02,0.02,0.01,0.1
25,Matigara-Naxalbari,Darjiling,29.9,0.05,0.02,0.02,0.01,0.1
16,Maynaguri,Jalpaiguri,5.1,0.05,0.02,0.02,0.01,0.1
4,Cooch Behar Dakshin,Koch Bihar,2.5,0.05,0.02,0.02,0.01,0.1
232,Chandrakona,Paschim Medinipur,4.6,0.05,0.02,0.02,0.01,0.1
211,Chandipur,Purba Medinipur,6.1,0.05,0.02,0.02,0.01,0.1
14,Madarihat,Jalpaiguri,18.1,0.05,0.02,0.02,0.01,0.1
256,Katulpur,Bankura,5.3,0.05,0.02,0.02,0.01,0.1
208,Mahishadal,Purba Medinipur,1.1,0.05,0.02,0.02,0.01,0.1
288,Labhpur,Birbhum,8.6,0.05,0.02,0.02,0.01,0.1
24,Kurseong,Darjiling,9.0,0.05,0.02,0.02,0.01,0.1
212,Patashpur,Purba Medinipur,4.8,0.05,0.02,0.02,0.01,0.1
245,Para,Puruliya,2.1,0.05,0.02,0.02,0.01,0.1
253,Barjora,Bankura,1.5,0.05,0.02,0.02,0.01,0.1
18,Rajganj,Jalpaiguri,7.4,0.05,0.02,0.02,0.01,0.1
246,Raghunathpur,Puruliya,2.6,0.05,0.02,0.02,0.01,0.1
217,Ramnagar,Purba Medinipur,5.7,0.05,0.02,0.02,0.01,0.1
250,Raipur,Bankura,10.1,0.05,0.02,0.02,0.01,0.1
242,Purulia,Puruliya,3.4,0.05,0.02,0.02,0.01,0.1
204,Panskura Purba,Purba Medinipur,4.9,0.05,0.02,0.02,0.01,0.1
27,Phansidewa,Darjiling,13.5,0.05,0.02,0.02,0.01,0.1
205,Panskura Paschim,Purba Medinipur,3.8,0.05,0.02,0.02,0.01,0.1
175,Panchla,Haora,15.3,0.05,0.02,0.02,0.01,0.1
79,Palashipara,Nadia,25.4,0.05,0.02,0.02,0.01,0.1
254,Onda,Bankura,5.2,0.05,0.02,0.02,0.01,0.1
220,Nayagram,Paschim Medinipur,12.0,0.05,0.02,0.02,0.01,0.1
8,Natabari,Koch Bihar,10.9,0.05,0.02,0.02,0.01,0.1
225,Narayangarh,Paschim Medinipur,1.1,0.05,0.02,0.02,0.01,0.1
291,Rampurhat,Birbhum,4.0,0.05,0.02,0.02,0.01,0.1
90,Ranaghat Dakshin,Nadia,6.9,0.05,0.02,0.02,0.01,0.1
87,Ranaghat Uttar Paschim,Nadia,10.5,0.05,0.02,0.02,0.01,0.1
89,Ranaghat Uttar Purba,Nadia,15.0,0.05,0.02,0.02,0.01,0.1
249,Ranibandh,Bankura,1.9,0.05,0.02,0.02,0.01,0.1
226,Sabang,Paschim Medinipur,4.2,0.05,0.02,0.02,0.01,0.1
247,Saltora,Bankura,2.1,0.05,0.02,0.02,0.01,0.1
234,Salboni,Paschim Medinipur,13.2,0.05,0.02,0.02,0.01,0.1
289,Sainthia,Birbhum,6.9,0.05,0.02,0.02,0.01,0.1
227,Pingla,Paschim Medinipur,2.9,0.05,0.02,0.02,0.01,0.1
6,Sitai,Koch Bihar,4.3,0.05,0.02,0.02,0.01,0.1
5,Sitalkuchi,Koch Bihar,7.3,0.05,0.02,0.02,0.01,0.1
258,Sonamukhi,Bankura,5.3,0.05,0.02,0.02,0.01,0.1
26,Siliguri,Darjiling,20.2,0.05,0.02,0.02,0.01,0.1
179,Shyampur,Haora,14.3,0.05,0.02,0.02,0.01,0.1
172,Shibpur,Haora,18.1,0.05,0.02,0.02,0.01,0.1
285,Suri,Birbhum,3.4,0.05,0.02,0.02,0.01,0.1
