AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
158,Kolkata Port,Kolkata,GEN,All India Trinamool Congress,0.77452313756953,0.77452313756953,0.1765105435654846,0.04896631886498549
83,Krishnanagar Uttar,Nadia,GEN,Bharatiya Janta Party,0.9856618027596487,0.013368071321487172,0.9856618027596487,0.0009701259188641694
88,Krishnaganj,Nadia,SC,Bharatiya Janta Party,0.9978858964376702,0.0014109230871242277,0.9978858964376702,0.0007031804752055945
85,Krishnanagar Dakshin,Nadia,GEN,Bharatiya Janta Party,0.491572849285628,0.4744919995566362,0.491572849285628,0.03393515115773585
133,Kulpi,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8436521072243337,0.8436521072243337,0.12494691192647628,0.03140098084919005
129,Kultali,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8055252302385708,0.8055252302385708,0.15417781700631722,0.0402969527551118
282,Kulti,Barddhaman,GEN,Bharatiya Janta Party,0.9955236000709776,0.0033644153708323934,0.9955236000709776,0.0011119845581900128
38,Kumarganj,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.5915705855544051,0.5915705855544051,0.37476856274393616,0.03366085170165874
10,Kumargram,Jalpaiguri,ST,Bharatiya Janta Party,0.9966315585428758,0.001708172257229265,0.9966315585428758,0.0016602691998950014
24,Kurseong,Darjiling,GEN,Bharatiya Janta Party,0.9926116006290441,0.000723970006089443,0.9926116006290441,0.0066644293648664785
37,Kushmandi,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.5555001285857892,0.39013761666971014,0.5555001285857892,0.05436225474450062
288,Labhpur,Birbhum,GEN,All India Trinamool Congress,0.8573137700917816,0.8573137700917816,0.12416376709287555,0.018522462815342814
61,Lalgola,Murshidabad,GEN,All India Trinamool Congress,0.8469961273075265,0.8469961273075265,0.1231234049981013,0.029880467694372196
14,Madarihat,Jalpaiguri,ST,Bharatiya Janta Party,0.9823783600937084,0.005474274488125664,0.9823783600937084,0.012147365418166025
118,Madhyamgram,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.8184715745426075,0.8184715745426075,0.14259719283945504,0.03893123261793746
142,Magrahat Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8203371351018669,0.8203371351018669,0.14251957335810542,0.037143291540027705
141,Magrahat Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8152571501518904,0.8152571501518904,0.14788481984032062,0.036858030007789026
155,Maheshtala,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8207548329876546,0.8207548329876546,0.14229483752756208,0.03695032948478332
208,Mahishadal,Purba Medinipur,GEN,All India Trinamool Congress,0.6129465638729382,0.6129465638729382,0.3655114935753383,0.02154194255172351
20,Mal,Jalpaiguri,ST,Bharatiya Janta Party,0.948563126725041,0.042175639431435805,0.948563126725041,0.009261233843523292
