AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
6,Sitai,Koch Bihar,SC,Bharatiya Janta Party,0.9955723188238328,0,0,0.0018845002529345501,0.9955723188238328,0.002543180923232644
5,Sitalkuchi,Koch Bihar,SC,Bharatiya Janta Party,0.9977320700920783,0,0,0.0011008350911348112,0.9977320700920783,0.0011670948167869228
258,Sonamukhi,Bankura,SC,Bharatiya Janta Party,0.9958107967058037,0,0,0.0038047576293804585,0.9958107967058037,0.00038444566481574913
147,Sonarpur Dakshin,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9496508305663341,0,0,0.9496508305663341,0.02725665726075446,0.02309251217291139
151,Sonarpur Uttar,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9626219648532113,0,0,0.9626219648532113,0.027677795454365058,0.009700239692423741
186,Sreerampur,Hugli,GEN,All India Trinamool Congress,0.8244122070998654,0,0,0.8244122070998654,0.1680377036004606,0.00755008929967396
53,Sujapur,Maldah,GEN,All India Trinamool Congress,0.9473424797144672,0,0,0.9473424797144672,0.051112548685207274,0.0015449716003255625
285,Suri,Birbhum,GEN,All India Trinamool Congress,0.7298176944014918,0,0,0.7298176944014918,0.26364635401797565,0.0065359515805325195
57,Suti,Murshidabad,GEN,All India Trinamool Congress,0.967458955421561,0,0,0.967458955421561,0.03170404562816977,0.000836998950269238
98,Swarupnagar,North Twenty Four Parganas,SC,All India Trinamool Congress,0.7506166337241574,0,0,0.7506166337241574,0.24759621048250266,0.0017871557933400223
251,Taldangra,Bankura,GEN,All India Trinamool Congress,0.7889841614574041,0,0,0.7889841614574041,0.20872947921231294,0.002286359330282961
203,Tamluk,Purba Medinipur,GEN,All India Trinamool Congress,0.754809558962104,0,0,0.754809558962104,0.2184593725266022,0.026731068511293796
40,Tapan,Dakshin Dinajpur,ST,Bharatiya Janta Party,0.9910344580377267,0,0,0.0038069442636209892,0.9910344580377267,0.0051585976986523166
198,Tarakeswar,Hugli,GEN,All India Trinamool Congress,0.9454079416368507,0,0,0.9454079416368507,0.051471741397587895,0.003120316965561457
78,Tehatta,Nadia,GEN,All India Trinamool Congress,0.6103511541909579,0,0,0.6103511541909579,0.38428814309488984,0.00536070271415238
152,Tollyganj,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9412922447928759,0,0,0.9412922447928759,0.05452544647670275,0.004182308730421427
9,Tufanganj,Koch Bihar,GEN,Bharatiya Janta Party,0.9955292772958529,0,0,0.0031787988347218694,0.9955292772958529,0.0012919238694252503
182,Udaynarayanpur,Haora,GEN,All India Trinamool Congress,0.9916507116321563,0,0,0.9916507116321563,0.0073389076010105265,0.0010103807668332399
178,Uluberia Dakshin,Haora,GEN,All India Trinamool Congress,0.9648483861282501,0,0,0.9648483861282501,0.03376804001745535,0.0013835738542944227
176,Uluberia Purba,Haora,GEN,All India Trinamool Congress,0.9941969631366513,0,0,0.9941969631366513,0.004619938787474291,0.0011830980758744895
177,Uluberia Uttar,Haora,SC,All India Trinamool Congress,0.9896859517611519,0,0,0.9896859517611519,0.007901981468585336,0.0024120667702627416
185,Uttarpara,Hugli,GEN,All India Trinamool Congress,0.9746403491562361,0,0,0.9746403491562361,0.022311205390804754,0.0030484454529591427
