AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
140,Baruipur Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9995154,0.9995154,0.9894839795081786,0.00035212343,0.0093908072032578,0.0001324183,0.0011252132885635,Biman Banerjee,???? ???????? ??? (Shri Biswajit Paul),Asitlal Nag,LAHEK ALI,0,0
137,Baruipur Purba,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99564904,0.99564904,0.9161853340218952,0.0029275196,0.0725714150152481,0.0014234666,0.0112432509628568,,,,,0,0
128,Basanti,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9992805,0.9992805,0.9826312063817064,0.00062582444,0.0165784675184823,9.363444e-05,0.0007903260998112,,,,,0,0
124,Basirhat Dakshin,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.99461836,0.99461836,0.9142257515859764,0.0025671953,0.0635688874985413,0.0028144484,0.0222053609154823,Surajit Mitra (Badal),??. ???? (?????) ?????? (Dr. Suraj (Shourya) Banerjee),Abu Ishak Gazi (Babu),AINUL AREFIN (RAJU AHAMED),0,0
125,Basirhat Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.982143,0.982143,0.8328646363039798,0.0023869942,0.0545305381804385,0.0154699795,0.1126048255155816,Md Tauseef Rehman,???? ????? ????????? (Shri Kaushik Sidharth),Musa Haque Mondal,,0,0
154,Behala Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.99770194,0.99770194,0.9574257475175282,0.0013423286,0.0347017880547091,0.000955738,0.0078724644277626,Ratna Chatterjee,??. ???????? ??? (Dr. Indranil Khan),Saibal Roy,NIHAR BHAKTA,0,0
153,Behala Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9957157,0.9957157,0.9120801645106894,0.0032255326,0.0795953717194069,0.0010587442,0.0083244637699036,Subhasish Chakraborty,???? ???? ?????? (Shri Shankar Sikdar),Abhijit Raha,DR. NILOY MAJUMDER,0,0
71,Beldanga,Murshidabad,GEN,All India Trinamool Congress,0.9989808,0.9989808,0.9749837241176854,0.00091982906,0.0241844421500207,9.929531e-05,0.0008318337322937,Rabiul Alam Chowdhury,???? ??? ????? ??? (Shri Bharat Kumar Jhawar),,RAJESH GHOSH,0,0
164,Beleghata,Kolkata,GEN,All India Trinamool Congress,0.9990633,0.9990633,0.9800798431842918,0.0006682014,0.0176589369729522,0.00026853863,0.0022612198427559,Kunal Ghosh,??. ????? ????? (Dr. Partha Choudhary),Smt. Shahina Javed,PARAMITA ROY,0,0
159,Bhabanipur,Kolkata,GEN,All India Trinamool Congress,0.9987954,0.9987954,0.976046737332032,0.00077205984,0.0203251503400332,0.00043253283,0.0036281123279347,Mamata Banerjee,???? ??????? ??????? (Shri Suvendu Adhikari),Pradip Prasad,ADV. SRIJEEB BISWAS,0,0
62,Bhagabangola,Murshidabad,GEN,All India Trinamool Congress,0.98685026,0.98685026,0.7490516988082614,0.011862345,0.2425603484296412,0.0012874426,0.0083879527620973,,,,,0,0
214,Bhagabanpur,Purba Medinipur,GEN,All India Trinamool Congress,0.7967374,0.7967374,0.1286911338205569,0.19882599,0.8651577457306856,0.0044366303,0.0061511204487574,Manab Kumar Porua,???? ?????? ????????? (Shri Santanu Pramanik),Biswajit Panigrahi,,0,0
148,Bhangar,South  Twenty Four Parganas,GEN,OTHER,0.74582964,0.19031295,0.0274856361025359,0.06385743,0.2236042841498183,0.74582964,0.7489100797476458,Saokat Molla,???? ????? ???? (Shri Jayanta Gayen),Mahabubul Islam,,0,0
