AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
124,Basirhat Dakshin,North Twenty Four Parganas,10.5,0.22,All India Trinamool Congress,0.9505473776971156,All India Trinamool Congress,0.7566912059876123
104,Naihati,North Twenty Four Parganas,12.2,0.22,All India Trinamool Congress,0.8504117257089869,All India Trinamool Congress,0.6812137190782187
122,Minakhan,North Twenty Four Parganas,26.8,0.22,All India Trinamool Congress,0.9906287083960088,All India Trinamool Congress,0.7866401767156933
107,Noapara,North Twenty Four Parganas,14.1,0.22,All India Trinamool Congress,0.90935227266414,All India Trinamool Congress,0.7257542485057544
115,Rajarhat New Town,North Twenty Four Parganas,24.2,0.22,All India Trinamool Congress,0.9838651870864298,All India Trinamool Congress,0.7815968751900104
117,Rajarhat  Gopalpur,North Twenty Four Parganas,14.3,0.22,All India Trinamool Congress,0.9451083157283072,All India Trinamool Congress,0.7526156186441284
113,Baranagar,North Twenty Four Parganas,22.3,0.22,All India Trinamool Congress,0.9906035082483862,All India Trinamool Congress,0.7866213937645898
105,Bhatpara,North Twenty Four Parganas,12.9,0.22,Bharatiya Janta Party,0.9766527468255072,Bharatiya Janta Party,0.9781982631642396
116,Bidhannagar,North Twenty Four Parganas,5.0,0.22,All India Trinamool Congress,0.7818885471140198,All India Trinamool Congress,0.6290174872882812
103,Bijpur,North Twenty Four Parganas,9.7,0.22,All India Trinamool Congress,0.5505806749776778,All India Trinamool Congress,0.4494586757987881
99,Baduria,North Twenty Four Parganas,26.8,0.22,All India Trinamool Congress,0.9532444041859456,All India Trinamool Congress,0.7587111156648322
109,Khardaha,North Twenty Four Parganas,15.6,0.22,All India Trinamool Congress,0.9903176496299714,All India Trinamool Congress,0.7864083246984765
118,Madhyamgram,North Twenty Four Parganas,21.2,0.22,All India Trinamool Congress,0.9909691506676404,All India Trinamool Congress,0.7868939198998883
110,Dum Dum Uttar,North Twenty Four Parganas,13.5,0.22,All India Trinamool Congress,0.8534564255121307,All India Trinamool Congress,0.6835225906812862
100,Habra,North Twenty Four Parganas,1.9,0.22,All India Trinamool Congress,0.85362131529267,All India Trinamool Congress,0.6836476056288996
120,Deganga,North Twenty Four Parganas,15.3,0.22,All India Trinamool Congress,0.9867993554555028,All India Trinamool Congress,0.7837852924993974
106,Jagatdal,North Twenty Four Parganas,10.3,0.22,All India Trinamool Congress,0.9787993975826268,All India Trinamool Congress,0.7778167377673803
112,Kamarhati,North Twenty Four Parganas,24.8,0.22,All India Trinamool Congress,0.9863049830791156,All India Trinamool Congress,0.7834166260277697
114,Dum Dum,North Twenty Four Parganas,14.6,0.22,All India Trinamool Congress,0.948959905613868,All India Trinamool Congress,0.7555019690513562
121,Haroa,North Twenty Four Parganas,36.1,0.22,All India Trinamool Congress,0.9655832799711797,All India Trinamool Congress,0.7679435660135459
126,Hingalganj,North Twenty Four Parganas,12.9,0.22,All India Trinamool Congress,0.8229176938502554,All India Trinamool Congress,0.6603244524097012
97,Gaighata,North Twenty Four Parganas,4.5,0.22,Bharatiya Janta Party,0.9983305662667012,Bharatiya Janta Party,0.998468407209978
98,Swarupnagar,North Twenty Four Parganas,16.5,0.22,All India Trinamool Congress,0.7506166337241574,All India Trinamool Congress,0.6050472110763634
94,Bagda,North Twenty Four Parganas,4.5,0.22,Bharatiya Janta Party,0.9995702806833028,Bharatiya Janta Party,0.9995843165766588
96,Bangaon Dakshin,North Twenty Four Parganas,1.0,0.22,Bharatiya Janta Party,0.9979770438717164,Bharatiya Janta Party,0.9981373896010238
95,Bangaon Uttar,North Twenty Four Parganas,5.2,0.22,Bharatiya Janta Party,0.9986738851141996,Bharatiya Janta Party,0.9987745805824804
102,Amdanga,North Twenty Four Parganas,12.2,0.22,All India Trinamool Congress,0.8713783221355813,All India Trinamool Congress,0.6970954268605756
39,Balurghat,Dakshin Dinajpur,8.9,0.1999999999999999,All India Trinamool Congress,0.7406938682848351,All India Trinamool Congress,0.6098921252745924
40,Tapan,Dakshin Dinajpur,0.9,0.1999999999999999,Bharatiya Janta Party,0.9910344580377268,Bharatiya Janta Party,0.9913409914405944
