AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Flip_Risk
61,Lalgola,Murshidabad,GEN,All India Trinamool Congress,0.9838051483995718,Very Low
172,Shibpur,Haora,GEN,All India Trinamool Congress,0.983846661047345,Very Low
118,Madhyamgram,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98389965834106,Very Low
168,Kashipur-Belgachhia,Kolkata,GEN,All India Trinamool Congress,0.984957287579972,Very Low
180,Bagnan,Haora,GEN,All India Trinamool Congress,0.9853548987451024,Very Low
268,Purbasthali Dakshin,Barddhaman,GEN,All India Trinamool Congress,0.9866198600520308,Very Low
265,Memari,Barddhaman,GEN,All India Trinamool Congress,0.9871198574598312,Very Low
142,Magrahat Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9871941214653724,Very Low
158,Kolkata Port,Kolkata,GEN,All India Trinamool Congress,0.9872312336715304,Very Low
105,Bhatpara,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.9873670205460938,Very Low
293,Nalhati,Birbhum,GEN,All India Trinamool Congress,0.9879107769223108,Very Low
163,Entally,Kolkata,GEN,All India Trinamool Congress,0.988055865889956,Very Low
155,Maheshtala,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9880661529537712,Very Low
272,Mongalkote,Barddhaman,GEN,All India Trinamool Congress,0.9883086930864508,Very Low
14,Madarihat,Jalpaiguri,ST,Bharatiya Janta Party,0.9889755448983768,Very Low
176,Uluberia Purba,Haora,GEN,All India Trinamool Congress,0.9890305243860964,Very Low
140,Baruipur Paschim,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9894839795081786,Very Low
278,Raniganj,Barddhaman,GEN,Bharatiya Janta Party,0.9904811588855568,Very Low
213,Kanthi Uttar,Purba Medinipur,GEN,Bharatiya Janta Party,0.9905601266279348,Very Low
41,Gangarampur,Dakshin Dinajpur,SC,Bharatiya Janta Party,0.9906378988421216,Very Low
