Year,AC_Number,Candidate,Criminal_Cases,Serious_Criminal_Cases,Facebook_Followers,X_Followers,Instagram_Followers,YouTube_Subscribers,Google_Trends_Index
2021,61,Ali Mohammad,1,1,0,0,0,0,0
2021,14,Manoj Tigga,0,0,0,0,0,0,0
2021,118,Rathin Ghosh,0,0,0,0,0,0,0
2021,142,Gias Uddin Molla,0,0,0,0,0,0,0
2021,141,Namita Saha,0,0,0,0,0,0,0
2021,155,Dulal Chandra Das,0,0,0,0,0,0,0
2021,208,Tilak Kumar Chakraborty,2,1,0,0,0,0,0
2021,20,Bulu Chik Baraik,0,0,0,0,0,0,0
2021,47,Abdur Rahim Boxi,1,1,0,0,0,0,0
2021,50,Gopal Chandra Saha,0,0,0,0,0,0,0
2021,243,Sandhyarani Tudu,0,0,0,0,0,0,0
2021,135,Joydeb Halder,0,0,0,0,0,0,0
2021,272,Apurba Chowdhury (Achal),0,0,0,0,0,0,0
2021,49,Sabitri Mitra,0,0,0,0,0,0,0
2021,167,Sadhan Pande,0,0,0,0,0,0,0
2021,2,Sushil Barman,0,0,0,0,0,0,0
2021,157,Abdul Khaleque Molla,2,1,0,0,0,0,0
2021,25,Anandamay Barman,0,0,0,0,0,0,0
2021,16,Kaushik Roy,0,0,0,0,0,0,0
2021,290,Abhijit Roy,0,0,0,0,0,0,0
2021,236,June Maliah,0,0,0,0,0,0,0
2021,1,Adhikary Paresh Chandra,0,0,0,0,0,0,0
2021,265,Madhusudan Bhattacharya,2,0,0,0,0,0,0
2021,122,Usha Rani Mondal,0,0,0,0,0,0,0
2021,263,Chowdhury Siddiqullah,0,0,0,0,0,0,0
2021,52,Yeasmin Sabina,0,0,0,0,0,0,0
2021,206,Ashoke Dinda,0,0,0,0,0,0,0
2021,294,Dr Mosarraf Hossain,0,0,0,0,0,0,0
2021,64,Gouri Sankar Ghosh,6,1,0,0,0,0,0
2021,84,Pundarikakshya Saha,0,0,0,0,0,0,0
2021,65,Kanai Chandra Mondal,0,0,0,0,0,0,0
2021,21,Puna Bhengra,0,0,0,0,0,0,0
2021,104,Partha Bhowmick,1,1,0,0,0,0,0
2021,81,Kallol Khan,2,0,0,0,0,0,0
2021,293,Rajendra Prasad Singh (RAJU SINGH),0,0,0,0,0,0,0
2021,207,Sukumar De,0,0,0,0,0,0,0
2021,210,Adhikari Suvendu,1,0,0,0,0,0,0
2021,287,Bidhan Chandra Majhi,0,0,0,0,0,0,0
2021,74,Sahina Momtaz Khan,0,0,0,0,0,0,0
2021,225,Atta Surja Kanta,0,0,0,0,0,0,0
2021,8,Mihir Goswami,0,0,0,0,0,0,0
2021,220,Dulal Murmu,0,0,0,0,0,0,0
2021,107,Manju Basu,0,0,0,0,0,0,0
2021,254,Amarnath  Shakha,6,0,0,0,0,0,0
2021,79,Dr. Manik Bhattacharya,0,0,0,0,0,0,0
2021,175,Gulsan Mullick,0,0,0,0,0,0,0
2021,275,Narendranath Chakraborty,7,1,0,0,0,0,0
2021,192,Dr. Ratna De Nag,0,0,0,0,0,0,0
2021,111,Nirmal Ghosh,0,0,0,0,0,0,0
2021,205,Phiroja Bibi,2,0,0,0,0,0,0
2021,204,Biplab Roy Chowdhury,0,0,0,0,0,0,0
2021,245,Nadiar Chand Bouri,0,0,0,0,0,0,0
2021,212,Uttam Barik,4,1,0,0,0,0,0
2021,130,Samir Kumar Jana,2,1,0,0,0,0,0
2021,27,Durga Murmu,0,0,0,0,0,0,0
2021,227,Ajit Maity,1,0,0,0,0,0,0
2021,268,Swapan Debnath,1,1,0,0,0,0,0
2021,269,Tapan Chatterjee,3,1,0,0,0,0,0
2021,199,Biman Ghosh,2,1,0,0,0,0,0
2021,242,Sudip Kumar Mukherjee,3,0,0,0,0,0,0
2021,59,Akhruzzaman,1,0,0,0,0,0,0
2021,246,Vivekananda Bauri,0,0,0,0,0,0,0
2021,134,Aloke Jaldata,1,1,0,0,0,0,0
2021,35,Krishna Kalyani,0,0,0,0,0,0,0
2021,261,Shampa Dhara,0,0,0,0,0,0,0
2021,250,Mrityunjoy Murmu,0,0,0,0,0,0,0
2021,117,Aditi Munshi,0,0,0,0,0,0,0
2021,115,Tapash Chatterjee,2,1,0,0,0,0,0
2021,18,Khageswar Roy,0,0,0,0,0,0,0
2021,217,Akhil Giri,1,1,0,0,0,0,0
2021,291,Asish Banerjee,0,0,0,0,0,0,0
2021,90,Mukut Mani Adhikari,0,0,0,0,0,0,0
2021,87,Parthasarathi Chatterjee,0,0,0,0,0,0,0
2021,89,Ashim Biswas,0,0,0,0,0,0,0
2021,249,Jyotsna Mandi,0,0,0,0,0,0,0
2021,278,Tapas Banerjee,7,1,0,0,0,0,0
2021,63,Abdul Soumik Hossain,2,1,0,0,0,0,0
2021,160,Debasish Kumar,0,0,0,0,0,0,0
2021,48,Samar Mukherjee,0,0,0,0,0,0,0
2021,70,Rabiul Alam Chowdhury,1,1,0,0,0,0,0
2021,226,Manas Ranjan Bhunia,0,0,0,0,0,0,0
2021,132,Bankim Chandra Hazra,0,0,0,0,0,0,0
2021,60,Subrata Saha,0,0,0,0,0,0,0
2021,289,Nilabati Saha,0,0,0,0,0,0,0
2021,234,Srikanta Mahata,3,1,0,0,0,0,0
2021,247,Bauri Chandana,0,0,0,0,0,0,0
2021,56,Amirul Islam,3,1,0,0,0,0,0
2021,123,Sukumar Mahata,0,0,0,0,0,0,0
2021,174,Priya Paul,0,0,0,0,0,0,0
2021,86,Jagannath Sarkar,0,1,0,0,0,0,0
2021,193,Tapan Dasgupta,0,0,0,0,0,0,0
2021,145,Mohan Chandra Naskar,0,0,0,0,0,0,0
2021,172,Manoj Tiwary,0,0,0,0,0,0,0
2021,166,Dr. Shashi Panja,0,0,0,0,0,0,0
2021,179,Kalipada Mandal,0,0,0,0,0,0,0
2021,26,Sankar Ghosh,2,1,0,0,0,0,0
2021,188,Becharam Manna,0,1,0,0,0,0,0
2021,6,Jagadish Chandra Barma Basunia,0,0,0,0,0,0,0
2021,5,Baren Chandra Barman,0,0,0,0,0,0,0
2021,258,Dibakar Gharami,0,0,0,0,0,0,0
2021,147,Arundhuti Maitra (LOVELY),0,0,0,0,0,0,0
2021,151,Firdousi Begum,0,0,0,0,0,0,0
2021,186,Dr. Sudipto Roy,0,0,0,0,0,0,0
2021,53,Md Abdul Ghani,0,0,0,0,0,0,0
2021,285,Bikash Roychoudhury,0,0,0,0,0,0,0
2021,57,Emani Biswas,1,1,0,0,0,0,0
2021,98,Bina Mondal,0,0,0,0,0,0,0
2021,251,Arup Chakraborty,0,0,0,0,0,0,0
2021,203,Saumen Kumar Mahapatra,0,0,0,0,0,0,0
2021,40,Budhrai Tudu,0,0,0,0,0,0,0
2021,198,Ramendu Sinharay,4,1,0,0,0,0,0
2021,78,Tapas Kumar Saha,1,0,0,0,0,0,0
2021,152,Aroop Biswas,0,0,0,0,0,0,0
2021,9,Malati Rava Roy,9,1,0,0,0,0,0
2021,182,Samir Kumar Panja,0,0,0,0,0,0,0
2021,178,Pulak Roy,0,0,0,0,0,0,0
2021,176,Bidesh Ranjan Bose,0,0,0,0,0,0,0
2021,177,Dr. Nirmal Maji,0,0,0,0,0,0,0
2021,185,Kanchan Mullick,0,0,0,0,0,0,0
